id,category_name,seller_id
230,Baby & Toddler Toys,1
231,"Tricycles, Scooters & Wagons",1
232,Finger Toys,1
233,Toy Vehicle Playsets,1
234,Kids' Play Trains & Trams,1
235,Kids' Play Trucks,1
236,Kids' Play Cars & Race Cars,1
237,Kids' Play Boats,1
238,Kids' Play Buses,1
239,Kids' Play Tractors,1
240,"Slot Cars, Race Tracks & Accessories",1
241,"Sony PSP Games, Consoles & Accessories",1
242,"Nintendo DS Games, Consoles & Accessories",1
243,"PlayStation 3 Games, Consoles & Accessories",1
244,"Wii Games, Consoles & Accessories",1
245,"Xbox 360 Games, Consoles & Accessories",1
248,Mac Games & Accessories,1
249,"Nintendo 3DS & 2DS Consoles, Games & Accessories",1
250,Legacy Systems,1
251,"PlayStation Vita Games, Consoles & Accessories",1
252,"Wii U Games, Consoles & Accessories",1
253,"PlayStation 4 Games, Consoles & Accessories",1
254,"Xbox One Games, Consoles & Accessories",1
255,Video Games,1
256,Online Video Game Services,1
259,Virtual Reality Hardware & Accessories,1
260,"Nintendo Switch Consoles, Games & Accessories",1
261,"PlayStation 5 Consoles, Games & Accessories",1
262,"Xbox Series X & S Consoles, Games & Accessories",1
263,PC Games & Accessories,1
264,Baby Girls' Clothing & Shoes,1
265,Boys' School Uniforms,1
270,Toys & Games,1
