asin,title,img_url,stars,review_count,price,list_price,category_id,is_best_seller,bought_in_last_month
B07WD4TSNQ,"VOYEE PC Controller, Wired Controller Compatible with Microsoft Xbox 360 & Slim/PC Windows 10/8/7, with Upgraded Joystick, Double Shock | Enhanced (Black)",https://m.media-amazon.com/images/I/71qgr9kyJJS._AC_UY218_.jpg,4.3,0,16.99,24.99,245,0,0
B07DPNYGST,"Ponkor Rechargeable Battery Packs for Xbox Series X|S/Xbox One, 2x2600mAh Batteries with High-Speed Charging Station for Xbox One S/Xbox One X/Xbox One Elite Wireless Controller",https://m.media-amazon.com/images/I/71H02EUtKnL._AC_UY218_.jpg,4.6,0,16.99,22.99,245,1,0
B07ZGD53JF,"YAEYE Wired Controller for Xbox 360, Game Controller for 360 with Dual-Vibration Turbo Compatible with Xbox 360/360 Slim and PC Windows 7,8,10,11",https://m.media-amazon.com/images/I/71r1LDErYwS._AC_UY218_.jpg,4.4,0,18.99,23.99,245,1,0
B09NVRC89H,"Switch Controller Compatible with Switch/Lite/OLED Controller, Switch Pro Controller With RGB Breathing LED, Switch Controllers Remote Supports Multi-Platform&App with Turbo, Wake-up Function",https://m.media-amazon.com/images/I/71r4W8WmzJL._AC_UY218_.jpg,4.5,0,29.99,39.99,245,1,1000
B07QZ39MWQ,"YAEYE Power Supply Brick for Xbox One with Power Cord, (Low Noise Version) AC Adapter Power Supply Charge Compatible with Xbox One Console, 100-240V Auto Voltage",https://m.media-amazon.com/images/I/61W4oEY7qsL._AC_UY218_.jpg,4.6,0,25.97,0.0,245,1,0
B01NCNMEV6,American Heritage 8” Moc Toe Work Boots For Men Breathable Leather Boots With Slip-Resistant MAXWear Wedge Outsole and Goodyear Storm Welt,https://m.media-amazon.com/images/I/71fCpf+5k0L._AC_UL320_.jpg,4.4,0,253.85,0.0,114,0,0
B07CZ221PW,Men's Speedcross 5 Trail Running Shoes,https://m.media-amazon.com/images/I/71nJ48O6aFL._AC_UL320_.jpg,4.7,0,139.95,0.0,114,0,50
B09VCJ7PGR,Women's Terrex AX4 Sneaker - Hiking Shoe,https://m.media-amazon.com/images/I/81IusNGNYBL._AC_UL320_.jpg,4.3,0,49.93,120.0,114,0,100
B01BPL5UAM,mens Hvc,https://m.media-amazon.com/images/I/51R8w-WqxjL._AC_UL320_.jpg,4.6,0,57.99,0.0,114,0,200
B091ZGPRCW,Unisex-Adult Adilette Clog Slide Sandal,https://m.media-amazon.com/images/I/61DouGlK6mL._AC_UL320_.jpg,4.6,0,49.99,0.0,114,0,400
B00RENKYH0,Men's Braver-Rayland Slip-On Loafer,https://m.media-amazon.com/images/I/61jiwQ7b+vL._AC_UL320_.jpg,4.5,0,78.24,85.0,114,0,100
B095WYS66V,Steel Toe Sneakers for Men Women Lightweight Safety Shoes Comfortable Puncture Proof Slip On Indestructible Work Shoes,https://m.media-amazon.com/images/I/71qf+5A-IzL._AC_UL320_.jpg,4.2,0,50.99,69.99,114,1,200
B0B7ND52ZT,Steel Toe Shoes for Men Indestructible Work Shoes Lightweight Steel Toe Sneakers Non Slip Safety Shoes Puncture Proof Composite Toe Shoes,https://m.media-amazon.com/images/I/71+fSuXHO9L._AC_UL320_.jpg,4.2,0,46.86,69.86,114,0,200
B0788D3ZCP,unisex-adult Classic All-Terrain Black Panther Clog,https://m.media-amazon.com/images/I/81ADAmHSgsL._AC_UL320_.jpg,4.8,0,49.99,64.99,114,0,200
B00593T2T8,Men's Neumel Boot,https://m.media-amazon.com/images/I/81AIb3gkW3L._AC_UL320_.jpg,4.8,0,139.95,0.0,114,0,50
B01EL5E9GK,Compton City Old English Embroidered Flatbill Snapback Baseball Cap,https://m.media-amazon.com/images/I/61gGXAlLx9L._AC_UL320_.jpg,4.7,0,24.99,0.0,112,0,50
B00OV54OHU,Optic Malcolm Sunglasses,https://m.media-amazon.com/images/I/61LG7jK3AIL._AC_UL320_.jpg,4.3,0,140.0,0.0,112,0,0
B0BX9Z5VGR,Trucker Cap The Animal Farm Collection Adjustable Mesh Snapback One Size,https://m.media-amazon.com/images/I/81mYhnch2xL._AC_UL320_.jpg,3.9,0,0.0,0.0,112,0,0
B08DNPYG2F,2 Pairs Thickened Cashmere Warm Half Finger Gloves Winter Knitted Fingerless Gloves for Men and Women,https://m.media-amazon.com/images/I/81Pz174MmrL._AC_UL320_.jpg,4.4,0,9.99,0.0,112,0,100
B016YHW7NU,"Big Bang Lite Street Smart Headband, One Size,White",https://m.media-amazon.com/images/I/81+IlZ-x3bL._AC_UL320_.jpg,4.6,0,14.41,16.0,112,0,50
B07934TS36,"Minnie Mouse Kids Sunglasses for Girls, Toddler Sunglasses with Kids Glasses Case",https://m.media-amazon.com/images/I/91seD597pnL._AC_UL320_.jpg,4.8,0,20.99,0.0,112,0,50
B09LZC5C29,Men's Perforamce Lite Patch Hat,https://m.media-amazon.com/images/I/417Dg0+rmcL._AC_UL320_.jpg,4.5,0,29.99,0.0,112,0,0
B08XQD6K8Y,Belt Men Leather Black Set with Wallet Keychain Ballpoint Pen Sunglasses Watch Set for Men Birthday Gifts for Him Boyfriend Husband Dad,https://m.media-amazon.com/images/I/61-VkSaJIiL._AC_UL320_.jpg,3.9,0,38.99,0.0,112,0,0
B06XWY3L1N,"Men's Casual Double Perf Belt, Available in Multiple Styles, Colors & Sizes",https://m.media-amazon.com/images/I/81Qzm8BB8KL._AC_UL320_.jpg,4.1,0,36.54,39.99,112,0,0
B07ZV3P2WW,Men's Oo9420 Anorak Square Sunglasses,https://m.media-amazon.com/images/I/51dUZBJkTCL._AC_UL320_.jpg,4.4,0,101.5,0.0,112,0,0
B08XWVX62X,"Eureka NEC185 Cordless Stick Vacuum Cleaner Convenient for Hard Floors, Rechargeable Handheld Vacuum Cleaner Portable with Powerful Motor Efficient Suction,White",https://m.media-amazon.com/images/I/716X0z1KILL._AC_UL320_.jpg,4.1,27918,152.99,169.99,175,0,600
B009ZJ2M7G,"Hoover Power Scrub Deluxe Carpet Cleaner Machine, Upright Shampooer, FH50150NC, Red, 27",https://m.media-amazon.com/images/I/71zMtxB9xTL._AC_UL320_.jpg,4.5,47104,181.36,239.99,175,0,4000
B07PN7DPKX,Prolux Core Floor Buffer - Heavy Duty Single Pad Commercial Floor Polisher and Tile Scrubber,https://m.media-amazon.com/images/I/71+t-F84jDS._AC_UL320_.jpg,4.2,497,499.99,549.99,175,0,200
B091SWWH59,"Eureka PowerSpeed Bagless Upright Vacuum Cleaner, Pet Turbo, Black",https://m.media-amazon.com/images/I/7114a8aLdcL._AC_UL320_.jpg,4.4,14469,99.99,0.0,175,1,3000
B005KMDV9A,"Shark NV356E Navigator Lift-Away Professional Upright Vacuum with Swivel Steering, HEPA Filter, XL Dust Cup, Pet Power, Dusting Brush, and Crevice Tool, Perfect for Pet Hair, White/Silver",https://m.media-amazon.com/images/I/61OsbGCnrqL._AC_UL320_.jpg,4.5,34651,199.99,0.0,175,0,5000
B09QQ9T4XY,Tineco iFLOOR 3 Breeze Complete Wet Dry Vacuum Cordless Floor Cleaner and Mop One-Step Cleaning for Hard Floors,https://m.media-amazon.com/images/I/71rvT22VH3L._AC_UL320_.jpg,4.4,25614,279.99,0.0,175,0,6000
B08559H8W2,"Shark Cordless Handheld Vacuum UltraCyclone Pet Pro Plus, with XL Dust Cup, in Black",https://m.media-amazon.com/images/I/81q--R4HADL._AC_UL320_.jpg,4.4,8446,98.0,0.0,175,0,4000
